thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1850,216.06,sand,"1850.0, 86361558.7, 187116710.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,251.57,sand,"1850.0, 117081810.1, 253677255.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,257.12,sand,"1850.0, 122304784.6, 264993700.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,286.63,sand,"1850.0, 151990000.3, 329311667.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2000,309.14,sand,"2000.0, 191135079.2, 414126004.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
