thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
0.5,1850,211.4,silt,,"82676426.0, 826764.3, 0.2, 0.2",
1.0,1850,211.4,sand,"1850.0, 82676426.0, 179132256.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1700,170.9,sand,"1700.0, 49651577.0, 107578416.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
3.0,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
3.0,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
6.0,1850,203.49,silt,,"76605133.2, 766051.3, 0.2, 0.2",
3.45,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
