thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.1,1915.9,123.73,sand,"1915.9, 29330459.2, 63549328.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.4,1915.9,123.73,silt,,"29330459.2, 293304.6, 0.2, 0.2",
1.5,1848.2,140.83,silt,,"36656214.9, 366562.1, 0.2, 0.2",
1.5,1848.2,147.94,silt,,"40450927.9, 404509.3, 0.2, 0.2",
3.0,1819.4,165.78,silt,,"50002908.8, 500029.1, 0.2, 0.2",
3.0,1819.4,170.9,silt,,"53139213.7, 531392.1, 0.2, 0.2",
1.5,1819.4,175.72,silt,,"56178920.2, 561789.2, 0.2, 0.2",
