thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1992.9,200.01,sand,"1992.9, 79725619.0, 172738841.2, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1992.9,200.01,silt,,"79725619.0, 797256.2, 0.2, 0.2",
1.5,1992.9,232.24,sand,"1992.9, 107490114.6, 232895248.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.9,1992.9,165.78,sand,"1992.9, 54772019.1, 118672708.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.6,1992.9,165.78,silt,,"54772019.1, 547720.2, 0.2, 0.2",
1.5,1992.9,175.72,silt,,"61537077.8, 615370.8, 0.2, 0.2",
1.5,1992.9,165.78,silt,,"54772019.1, 547720.2, 0.2, 0.2",
3.0,1992.9,175.72,silt,,"61537077.8, 615370.8, 0.2, 0.2",
1.95,1992.9,184.58,silt,,"67899060.3, 678990.6, 0.2, 0.2",
