thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
2.0,1904.1,152.57,clay,,,"6368.2, 0.53, 0.18, 0.036, 1.0"
2.0,1904.1,216.06,clay,,,"19104.7, 0.53, 0.12, 0.024, 1.0"
0.4,1902.9,140.83,clay,,,"26711.7, 0.53, 0.25, 0.050, 1.0"
1.35,1902.9,140.83,silt,,"37741201.5, 377412.0, 0.2, 0.2",
0.45,1937.6,173.44,silt,,"58287201.3, 582872.0, 0.2, 0.2",
0.8,1937.6,173.44,clay,,,"43589.0, 0.54, 0.18, 0.036, 1.0"
0.75,1937.6,137.81,clay,,,"48707.4, 0.54, 0.25, 0.050, 1.0"
1.0,1937.6,152.57,clay,,,"54486.2, 0.54, 0.18, 0.036, 1.0"
6.25,1937.6,163.99,clay,,,"78427.2, 0.54, 0.18, 0.036, 1.0"
12.0,1937.6,163.99,sand,"1937.6, 52108600.0, 112901966.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
