thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,2000.0,216.06,clay,,,"3521.8, 0.55, 0.12, 0.024, 1.0"
0.5,2000.0,216.06,sand,"2000.0, 93363847.2, 202288335.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,2000.0,274.18,sand,"2000.0, 150349344.8, 325756913.7, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2000.0,188.72,sand,"2000.0, 71230476.8, 154332699.7, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,2000.0,188.72,clay,,,"36978.8, 0.55, 0.18, 0.036, 1.0"
1.5,1941.2,201.01,clay,,,"44747.4, 0.54, 0.12, 0.024, 1.0"
1.5,1941.2,228.51,clay,,,"54691.3, 0.54, 0.12, 0.024, 1.0"
1.5,1941.2,224.59,clay,,,"64635.2, 0.54, 0.12, 0.024, 1.0"
1.5,1941.2,211.4,clay,,,"74579.1, 0.54, 0.12, 0.024, 1.0"
1.5,1941.2,224.59,clay,,,"84523.0, 0.54, 0.12, 0.024, 1.0"
1.5,1941.2,216.06,clay,,,"94466.8, 0.54, 0.12, 0.024, 1.0"
1.0,1941.2,220.45,clay,,,"102753.4, 0.54, 0.12, 0.024, 1.0"
