thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
3.0,1550,112.83,silt,,"19732443.8, 197324.4, 0.2, 0.2",
1.5,1550,123.68,silt,,"23709950.7, 237099.5, 0.2, 0.2",
1.5,1550,140.76,silt,,"30710735.3, 307107.4, 0.2, 0.2",
3.0,1550,147.85,silt,,"33882414.9, 338824.1, 0.2, 0.2",
3.0,1700,154.28,silt,,"40463941.3, 404639.4, 0.2, 0.2",
1.5,1550,147.85,silt,,"33882414.9, 338824.1, 0.2, 0.2",
3.0,1700,160.19,silt,,"43623421.4, 436234.2, 0.2, 0.2",
1.5,1700,165.67,silt,,"46659133.1, 466591.3, 0.2, 0.2",
1.5,1700,154.28,silt,,"40463941.3, 404639.4, 0.2, 0.2",
