thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1900.0,152.57,clay,,,"4754.4, 0.53, 0.18, 0.036, 1.0"
1.5,1900.0,224.59,clay,,,"14263.2, 0.53, 0.12, 0.024, 1.0"
1.5,1900.0,245.62,clay,,,"23772.1, 0.53, 0.12, 0.024, 1.0"
1.5,1870.6,211.4,clay,,,"32193.3, 0.52, 0.12, 0.024, 1.0"
1.5,1888.2,245.62,clay,,,"42230.4, 0.53, 0.12, 0.024, 1.0"
1.5,1888.2,232.24,clay,,,"51614.9, 0.53, 0.12, 0.024, 1.0"
1.5,1888.2,211.4,clay,,,"60999.5, 0.53, 0.12, 0.024, 1.0"
1.5,1888.2,239.21,clay,,,"70384.0, 0.53, 0.12, 0.024, 1.0"
