thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.25,1700,152.57,sand,"1700.0, 39571928.3, 85739178.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.75,1700,152.57,silt,,"39571928.3, 395719.3, 0.2, 0.2",
1.1,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
0.4,1550,112.87,clay,,,"16658.1, 1.10, 0.25, 0.050, 1.0"
1.5,1550,123.73,clay,,,"20338.3, 1.10, 0.25, 0.050, 1.0"
3.0,1550,140.83,clay,,,"29054.8, 1.10, 0.25, 0.050, 1.0"
1.5,1700,180.27,clay,,,"48072.4, 0.85, 0.18, 0.036, 1.0"
1.5,1850,200.01,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1700,175.72,clay,,,"62864.0, 0.85, 0.18, 0.036, 1.0"
1.5,1700,160.3,clay,,,"70259.7, 0.85, 0.18, 0.036, 1.0"
